nome,preco,descricao,urlImagem
"Cafeteira Expresso Automática",950.00,"Prepara café espresso e cappuccino com um toque","https://images.unsplash.com/photo-1511920183313-a4f63d1a4a49"
"Liquidificador de Alta Potência",320.00,"Motor de 1200W para triturar gelo e frutas congeladas","https://images.unsplash.com/photo-1576402033873-13b35547b186"
"Fritadeira Elétrica Sem Óleo",450.00,"Air fryer com capacidade para 5 litros","https://images.unsplash.com/photo-1601004860086-5d2f6c0a0c44"
"Aspirador de Pó Vertical",600.00,"Aspirador sem fio com bateria de longa duração","https://images.unsplash.com/photo-1577549767639-6f5b2a0953a2"
"Panela de Pressão Elétrica",380.00,"Cozinha feijão, carnes e arroz de forma rápida e segura","https://images.unsplash.com/photo-1601004860086-5d2f6c0a0c44"
"Robô Aspirador Inteligente",1500.00,"Mapeia a casa e pode ser controlado pelo celular","https://images.unsplash.com/photo-1577549767639-6f5b2a0953a2"
"Mixer de Mão 3 em 1",180.00,"Mixer, processador e batedor de ovos","https://images.unsplash.com/photo-1576402033873-13b35547b186"
"Sanduicheira e Grill",120.00,"Placas antiaderentes para sanduíches e grelhados","https://images.unsplash.com/photo-1601004860086-5d2f6c0a0c44"
"Forno Elétrico de Bancada",480.00,"Forno com capacidade para 44 litros e função dourador","https://images.unsplash.com/photo-1511920183313-a4f63d1a4a49"
"Batedeira Planetária",700.00,"Ideal para massas pesadas, pães e bolos","https://images.unsplash.com/photo-1576402033873-13b35547b186"
"Chaleira Elétrica",150.00,"Ferve a água em poucos minutos, com desligamento automático","https://images.unsplash.com/photo-1511920183313-a4f63d1a4a49"
"Processador de Alimentos",400.00,"Processa, fatia, rala e pica diversos alimentos","https://images.unsplash.com/photo-1601004860086-5d2f6c0a0c44"
"Máquina de Waffle",130.00,"Prepara waffles crocantes e dourados","https://images.unsplash.com/photo-1576402033873-13b35547b186"
"Purificador de Água",550.00,"Água natural ou gelada, com filtro de alta eficiência","https://images.unsplash.com/photo-1511920183313-a4f63d1a4a49"
"Máquina de Gelo",800.00,"Produz gelo em cubos em poucos minutos","https://images.unsplash.com/photo-1601004860086-5d2f6c0a0c44"
